Tipo_Producto;     Nombre_Producto;    ISBN/ISSN;     Tipo_Obra;     Publicado_en;     País;     Año;     Idioma;     Volumen;     Página;     Nombre_del_Capítulo;     Carácter;     Idioma_Destino;     Entidad;     Número/Código_Registro;     Observaciones_Extra
Capítulos de Libros;-;978-958-443-666-5;-;Tendencias En Ingeniería De Software E Inteligencia Artificial, Volumen 2. Isbn: 978-958-44-3666-5;-;2008;Sin Información;-;-;Actividades Asociadas al Modelo Evolutivo de Desarrollo de Software;-;-;-;-;-
Capítulos de Libros;-;9789587750805;-;Software Engineering: Methods, Modeling And Teaching;-;2014;Sin Información;-;-;On the Use of the SEMAT Kernel within a Software Engineering Course;-;-;-;-;-
Capítulos de Libros;-;978-1-4673-3092-3;-;The 21st Ieee International Conference On Program Comprehension, Icpc 2013;-;2013;Sin Información;-;-;Automatic Generation of Natural Language Summaries for Java Classes;-;-;-;-;-
Capítulos de Libros;-;978-1-4799-6148-1;-;14th Ieee International Working Conference On Source Code Analysis And Manipulation, Scam 2014;-;2014;Sin Información;-;-;On Automatically Generating Commit Messages via Summarization of Source Code Changes;-;-;-;-;-
Capítulos de Libros;-;978-1-4799-1457-9;-;1st Ieee Working Conference On Software Visualization, Vissoft 2013;-;2013;Sin Información;-;-;An Empirical Study Assessing the Effect of SeeIT 3D on Comprehension;-;-;-;-;-
Capítulos de Libros;-;978-1-4799-1934-5;-;International Conference on Software Engineering;-;2015;Sin Información;-;-;ChangeScribe: A Tool for Automatically Generating Commit Messages;-;-;-;-;-
Capítulos de Libros;-;978-1-4503-4155-4;-;International Workshop on Cooperative and Human Aspects of Software Engineering;-;2016;Sin Información;-;-;Finding Relationships between Socio-Technical Aspects and Personality Traits by Mining Developer E-mails;-;-;-;-;-
Capítulos de Libros;-;978-958-761-162-5;-;Research Topics In Software Evolution And Maintenance;-;2012;Sin Información;-;-;Survey and Research Trends in Mining Software Repositories;-;-;-;-;-
Capítulos de Libros;-;978-958-761-162-5;-;Research Topics In Software Evolution And Maintenance;-;2012;Sin Información;-;-;Software Development: Agility in Small and Medium Enterprises (SMEs);-;-;-;-;-
Capítulos de Libros;-;978-958-761-162-5;-;Research Topics In Software Evolution And Maintenance;-;2012;Sin Información;-;-;Reverse Engineering in Procedural Software Evolution;-;-;-;-;-
Capítulos de Libros;-;978-958-761-162-5;-;Research Topics In Software Evolution And Maintenance;-;2012;Sin Información;-;-;Summarizing Software Artifacts: Overview and Applications;-;-;-;-;-
Capítulos de Libros;-;978-958-761-162-5;-;Research Topics In Software Evolution And Maintenance;-;2012;Sin Información;-;-;Incremental Change: The Way that Software Evolves;-;-;-;-;-
Capítulos de Libros;-;978-9978-389-32-4;-;International Conference on Information Systems and Computer Science, INCISCOS;-;2016;Sin Información;-;-;An Empirical Assessment of the Graph-based Visualization Technique;-;-;-;-;-
Capítulos de Libros;-;978-958-775-080-5;-;Latin American Software Engineering Symposium LASES 2014;-;2014;Sin Información;-;-;On the Use of the SEMAT Kernel within a Software Engineering Course;-;-;-;-;-
Capítulos de Libros;-;978-958-44-8153-5;-;Tendencias En Ingeniería De Software E Inteligencia Artificial, Volumen 4;-;2011;Sin Información;-;-;Evaluating source-code summaries using Information Retrieval and Text Summarization techniques;-;-;-;-;-
Capítulos de Libros;-;978-958-44-5820-9;-;Proceeding In Tisia'09: Tendencias En Ingeniería De Software E Inteligencia Artificial;-;2009;Sin Información;-;-;La Estructura Social de la Corrección de Bugs;-;-;-;-;-
Capítulos de Libros;-;978-958-8166-43-8;-;Memorias Del Iv Congreso Colombiano De Computación - 4ccc 2009;-;2009;Sin Información;-;-;Aplicación de un Framework de Evaluación a Plugins de Eclipse para Visualización de Software;-;-;-;-;-
Capítulos de Libros;-;978-958-44-1344-4;-;Tendencias Ingeniería De Software E Inteligencia Artificial Volumen 1;-;2007;Sin Información;-;-;Metodologías Ágiles de Desarrollo: Un Panorama General;-;-;-;-;-
